scenario,mode,attempts,retries,tokens_wasted
capability-contract-violation,no_substrate,4,2,251
capability-contract-violation,substrate,4,2,250
capability-contract-violation-expected-allow,no_substrate,2,0,0
capability-contract-violation-expected-allow,substrate,2,0,0
memory-drift,no_substrate,4,2,244
memory-drift,substrate,4,2,244
memory-drift-expected-allow,no_substrate,2,0,0
memory-drift-expected-allow,substrate,2,0,0
parallel-write-conflict,no_substrate,4,2,241
parallel-write-conflict,substrate,4,2,242
parallel-write-conflict-expected-allow,no_substrate,2,0,0
parallel-write-conflict-expected-allow,substrate,2,0,0
source-authority-conflict,no_substrate,4,2,250
source-authority-conflict,substrate,4,2,251
source-authority-conflict-expected-allow,no_substrate,2,0,0
source-authority-conflict-expected-allow,substrate,2,0,0
stale-observation,no_substrate,4,2,239
stale-observation,substrate,4,2,239
stale-observation-expected-allow,no_substrate,2,0,0
stale-observation-expected-allow,substrate,2,0,0
workflow-invalidation,no_substrate,4,2,249
workflow-invalidation,substrate,4,2,249
workflow-invalidation-expected-allow,no_substrate,2,0,0
workflow-invalidation-expected-allow,substrate,2,0,0
